Name,Assign,Date,Status,Subject,Type,Grade,Weight,Link,,
Trigonometry Exam,,"October 13, 2021",Completed,Maths,Exam,9.38,,,Done,
TOK Mini Exhibition,,"September 29, 2021 9:00 PM",Completed,TOK,Essay/Writing,9.4,,,Done,
Test de Lectura,,"October 4, 2021 8:00 PM",Completed,Historia,Essay/Writing,10,,https://classroom.google.com/u/0/c/MzgzMzQ4NDE0NzA3/a/NDA0NDg4NjMwNzAx/details,Done,
Primer Parcial,,"September 30, 2021",Completed,Español,Exam,9.3,,,Done,
Gender in Escandinavia,,"November 9, 2021",Completed,Geografía,Presentation,10,,https://classroom.google.com/u/0/c/MzgzNDE1MTkwOTI1/m/MzkzNDc4OTI1Mzk1/details,Done,
Examen U7 + U12.1,,"October 14, 2021",Completed,Química,Exam,10,,,Done,
Mechanics Exam,,"November 25, 2021",Completed,Physics,Exam,9.2,,,Done,
Segundo Parcial,,"November 18, 2021",Completed,Español,Exam,10,,,Done,
Jugend ohne Gott – Das PBL,,"October 11, 2021",Completed,Deutsch,Project,8.7,,https://classroom.google.com/u/0/c/MzgzNzM2MDY1OTMz/m/Mzk5NzUwMDgyOTk0/details,Done,
CMOS Exam,,"October 6, 2021",Completed,TOK,Exam,9.7,,,Done,
Exposición Porfiriato,,"October 27, 2021",Completed,Historia,Presentation,9.04,,,Done,
Question Assignment Forces 1,,"October 8, 2021 11:59 PM",Completed,Physics,Exercise,9,,https://app.kognity.com/study/app/physics-hl-2016/assignments/take/1294235/?,Done,
Leseverständnis Prüfung DSD2,,"October 25, 2021",Completed,Deutsch,Exam,9.4,,,Done,
Grammatik Prüfung Satzverbindungen,,"October 21, 2021",Completed,Deutsch,Exam,8.3,,,Done,
Hörverständnis DSDII,,"September 27, 2021",Completed,Deutsch,Exam,9.2,,,Done,
Motion Exam,,"September 23, 2021",Completed,Physics,Exam,9.87,,,Done,
Examen de conjugaisons,,"September 28, 2021",Completed,Français,Exam,9.9,,,Done,
Gruppenarbeit Zellbiologie,,"September 17, 2021",Completed,Biologie,Presentation,8.2,,,Done,
Abschlussarbeit zu Statistik,,"September 20, 2021 7:25 AM",Completed,Maths,Essay/Writing,9.51,2,https://classroom.google.com/u/0/c/MzgwOTc3MTAzNDU1/a/Mzk0MzU0MTk0Nzcz/details,Done,
Presentation of Kognity Question Assignment,,"October 25, 2021",Completed,Physics,Presentation,9.5,,,Done,
Midi exhibitions (2 objects),,"November 17, 2021 9:00 PM",Completed,TOK,Essay/Writing,9.7,,,Done,
Análisis literario - 68,,"November 11, 2021 7:30 AM",Completed,Español,Essay/Writing,9.8,,,Done,
Examen Geo,,"January 11, 2022",Completed,Geografía,Exam,9,,,Done,
Examen U8: Ácidos y Bases,,"February 2, 2022",Completed,Química,Exam,9.6,,,Done,
Mündliche Prüfung Das Muschelessen,,"January 17, 2022",Completed,Deutsch,Exam,9.3,,,Done,
Exemplification/Generalization Writing Assignment,,"February 4, 2022",Completed,TOK,Essay/Writing,10,0.5,,Done,
Exam Momentum+Chap3,,"February 14, 2022",Completed,Physics,Exam,9.63,,,Done,
Examen U9 REDOX,,"March 3, 2022",Completed,Química,Exam,10,,,Done,
Examen U13: metales transición,,"February 17, 2022",Completed,Química,Exam,10,,,Done,
Ensayo revolución mexicana,,"February 2, 2022 2:00 PM",Completed,Historia,Essay/Writing,9.27,,,Done,
Test Lectura Meyer,,"February 23, 2022",Completed,Historia,Exam,9.4,0.2,,Done,
Proyecto Art-I-Fact,,"March 14, 2022",Completed,Historia,Project,10,0.2,,Done,
Test Lectura Coral,,"March 28, 2022",Completed,Historia,Exam,9.6,0.2,,Done,
Examen Español,,"March 11, 2022",Completed,Español,Exam,9,,,Done,
Examen Climate Change,,"March 15, 2022",Completed,Geografía,Exam,10,,,Done,
Lektüre Kaufmann - Eine Kleidergeschichte,,"February 16, 2022 7:59 PM",Completed,Deutsch,Reading,9.4,0.2,,Done,
Lettre l’étranger,,"February 11, 2022",Completed,Français,Essay/Writing,9.6,,,Done,
Kognity Waves,,"February 23, 2022 11:59 PM",Completed,Physics,Exercise,89,,,Done,
Exposición Español,,"February 25, 2022",Completed,Español,Presentation,9.3,,,Done,